iter	Logloss
0	0.6922809517
1	0.6913012491
2	0.690445271
3	0.6894625406
4	0.6885746332
5	0.687951715
6	0.6873231652
7	0.6866361181
8	0.6858956611
9	0.6852326587
10	0.6845072733
11	0.6838864516
12	0.6832943038
13	0.6826746458
14	0.6821676839
15	0.6816921781
16	0.6811562918
17	0.680697356
18	0.6802202875
19	0.6797813036
20	0.6792406449
21	0.6787590874
22	0.6783243964
23	0.6779242154
24	0.6775639799
25	0.6771469354
26	0.6767859543
27	0.6764066016
28	0.676044521
29	0.6757013862
30	0.6753404483
31	0.6750965868
32	0.6747799165
33	0.6744021258
34	0.6740753205
35	0.6738226811
36	0.6735133219
37	0.6732164771
38	0.6730254531
39	0.6728121304
40	0.6724381031
41	0.6723302009
42	0.6720745276
43	0.6718045497
44	0.6715091281
45	0.6713493111
46	0.6711203269
47	0.6709093975
48	0.6706179165
49	0.6703825612
50	0.6701867652
51	0.6700321647
52	0.6698886173
53	0.6697562538
54	0.6696051963
55	0.6694885802
56	0.6693327206
57	0.6691462229
58	0.6689061658
59	0.6687369559
60	0.6685658947
61	0.6684450567
62	0.6682143868
63	0.6680691605
64	0.6678865062
65	0.6676283782
66	0.6674787964
67	0.6672549787
68	0.6670870175
69	0.6669218443
70	0.6668242041
71	0.666700991
72	0.6665782409
73	0.6664723277
74	0.6662810666
75	0.6661889949
76	0.6660128493
77	0.6658321166
78	0.6656810291
79	0.6655475192
80	0.665429996
81	0.6653390482
82	0.6651704339
83	0.6650816799
84	0.6649319277
85	0.6647490723
86	0.6646182017
87	0.6644574593
88	0.6643049845
89	0.6641412444
90	0.6640225276
91	0.6638766802
92	0.6637285627
93	0.663582981
94	0.6635093307
95	0.6633597374
96	0.6633084068
97	0.6631335002
98	0.6630222513
99	0.6628764546
100	0.6627203247
101	0.6626428873
102	0.662491366
103	0.6622826468
104	0.6621796216
105	0.6620844007
106	0.6619837031
107	0.6618457853
108	0.661691549
109	0.6614973485
110	0.6613897236
111	0.6612814366
112	0.6612278209
113	0.661134523
114	0.6609947583
115	0.6608405508
116	0.660730967
117	0.6606397467
118	0.6604673752
119	0.6603469837
120	0.6602331561
121	0.6601068916
122	0.6599801338
123	0.6598726795
124	0.659729351
125	0.6596396294
126	0.6595172567
127	0.6593512534
128	0.6592226308
129	0.6590820898
130	0.6589653684
131	0.6588282416
132	0.6587368275
133	0.6586492727
134	0.6585261523
135	0.6585219262
136	0.6584369659
137	0.6583702357
138	0.658241926
139	0.6580895066
140	0.6580314376
141	0.6579453653
142	0.6577238973
143	0.6576535718
144	0.6576171303
145	0.6574472919
146	0.6573569677
147	0.6572318045
148	0.6571307824
149	0.6569445439
150	0.6568075832
151	0.6566451822
152	0.6565925638
153	0.6564765578
154	0.6563788886
155	0.6562381605
156	0.656105221
157	0.6560587
158	0.6559331707
159	0.6558085112
160	0.6557267951
161	0.6556848002
162	0.6555745849
163	0.6554019821
164	0.6553066288
165	0.6551058847
166	0.6550087079
167	0.6548683238
168	0.6547751901
169	0.6546144646
170	0.6545863547
171	0.6545309215
172	0.6543848215
173	0.6542459947
174	0.6541017083
175	0.6539828424
176	0.6538507042
177	0.6537115475
178	0.6536530257
179	0.653560875
180	0.6534597534
181	0.653369247
182	0.6532983529
183	0.6531450873
184	0.6529715839
185	0.6528551678
186	0.6527861226
187	0.6527372091
188	0.6526580159
189	0.6525992098
190	0.6525240012
191	0.6524074551
192	0.6523163744
193	0.6522392764
194	0.6522392163
195	0.6521825148
196	0.6521446458
197	0.6520773169
198	0.6520017174
199	0.6519544555
200	0.6518287031
201	0.651770332
202	0.6516669486
203	0.6516103659
204	0.6515536072
205	0.6514416684
206	0.6513158753
207	0.6512471327
208	0.6511774999
209	0.6511225767
210	0.6510538876
211	0.6509654605
212	0.6509374284
213	0.6508750115
214	0.6507443379
215	0.6506181358
216	0.6505309846
217	0.6504424251
218	0.6503442975
219	0.6502899665
220	0.6501721222
221	0.6500857659
222	0.6500071534
223	0.6499598703
224	0.6498721769
225	0.6497515086
226	0.6496552926
227	0.6495654987
228	0.6495091611
